episodes,rewards_total
1,-5.034955581920119
2,-5.0884543828766855
3,-5.038360354248187
4,2.197011055084541
5,0.9888263248268867
6,-43.98786277063286
7,-5.3216351199721785
8,-1.068333835011206
9,0.7132111084605626
10,1.8019765114164024
11,-0.9076977753579492
12,2.8664147497159433
13,-12.224315304917923
14,-5.430865278294132
15,-1.0148019167085813
16,-7.886253676585852
17,-169.03486371599743
18,-166.8922002294699
19,-167.34720401874665
20,-165.8619469904304
21,-164.0009966848843
22,-162.57460037551783
23,-165.73698934326663
24,-166.17054520920703
25,-164.5192339584141
26,-2.750963366293572
27,-3.5910242194358624
28,-3.231803858360305
29,-3.4874344899885905
30,-3.0783751997026734
31,-3.661616351297784
32,-3.375577176896016
33,-3.372511537769224
34,-3.1986964854420705
35,-2.753462443690033
36,-3.3882352388396377
37,-3.4334733061539033
38,-3.74006495866254
39,-3.799447324234581
40,-3.783239214249626
41,-3.2092239368616475
42,-3.30980635947963
43,-3.3071035471321117
44,-3.487570383981968
45,-3.8240724293022623
46,-3.5961269867422097
47,-3.8396895964722226
48,-3.5135780830325203
49,-3.8093920568965274
50,-3.629342377259693
51,-3.959907407461799
52,-3.6171010276964672
53,-3.5352992116335855
54,-3.1685137580679985
55,-3.51777376988359
56,-3.0789261083226336
57,-3.6375402031045354
58,-3.6788409682717393
59,-3.3577457755158733
60,-4.501052515890365
61,-3.649805278441537
62,-3.4704035052303546
63,-3.5830920837694826
64,-3.0012694382306044
65,-3.194566203301399
66,-3.117225287061512
67,-3.748793151402957
68,-3.0080134179689324
69,-3.499255684674406
70,-3.5064334722362176
71,-3.356198224361112
72,8.338577034010918
73,8.338546292230546
74,8.338573963819226
75,8.33858759385113
76,2.6394724727701444
77,-2.6772802118740486
78,-3.79301712044931
79,-3.4572949931817156
80,-3.6779994312082565
81,-3.220687667959364
82,-3.2797902823291203
83,-3.549229974003836
84,-3.7653915618572
85,-3.511173952294559
86,-3.6853787304972556
87,-3.837948292831946
88,-3.4651303170744328
89,-3.685136692681496
90,-3.7008568352315905
91,-3.3536602383610337
92,-3.3247873189620805
93,-3.346684569917681
94,-2.93572151130941
95,-3.576184193060019
96,-3.5370682419945183
97,-3.347731189169103
98,-3.0815363928543817
99,-3.4972678838601077
100,-3.4177477192144217
101,-3.1218185371565923
102,-3.4343490355290385
103,-3.1508242520936136
104,-3.9227064090597246
105,-3.1879615733853726
106,-3.3441398834620273
107,-3.615891406994141
108,-3.4739748201829244
109,-3.6999326142348785
110,-3.365578982187973
111,-3.928592190868848
112,-3.583022618655484
113,-3.4950410601369306
114,-3.7144178750853847
115,-3.1462216840719535
116,-3.6096641870603925
117,-3.633999223930182
118,-3.1774666823638285
119,-2.5051577586799247
120,-3.2971255541238165
121,-3.434839090828774
122,-3.088693640598162
123,-3.2810218096222705
124,-3.495845085608728
125,-3.7517016541084125
126,-3.790375239635175
127,-3.465819247724312
128,-3.8175787178767813
129,-3.436244961038934
130,-3.7893067137312215
131,-3.355133403258261
132,-2.996943184145227
133,-3.549373469777624
134,-3.1898429340367684
135,-3.4338414494373843
136,-3.338196544033803
137,-5.985723644234145
138,-144.13277164690703
139,-153.1294791234355
140,-149.12175690289394
141,-146.19439214164788
142,-154.57809835586423
143,-161.29244532069993
144,-154.4902165203736
145,-160.83417355466452
146,-155.88870370375304
147,-156.74843220273203
148,-156.44347321342283
149,-161.2102150413249
150,-155.73854891525622
151,-153.25748281190266
152,-155.89589006722449
153,-151.05923802090314
154,-150.94952178264634
155,-154.71676689178193
156,-157.9232215831379
157,-152.13715923436115
158,-160.0998682556049
159,-157.98321546130325
160,-153.86279266878148
161,-150.28351577424883
162,-156.63116106826135
163,-150.65718770796062
164,-156.1101001769304
165,-148.37028559565476
166,-136.18069662998192
167,-146.79858332613657
168,-150.69378515992054
169,-149.10120703907558
170,-135.3685949598363
171,-153.87708263222734
172,-156.864976816928
173,-159.38977660898925
174,-159.51814142456595
175,-153.73906545826765
176,-152.12938434766556
177,-155.22095788224368
178,-155.10173076813072
179,-154.25232562820054
180,-149.72705832091236
181,-159.66151351718247
182,-155.43161461225253
183,-153.586830983073
184,-157.54878993658127
185,-155.03380737836756
186,-159.56724468146066
187,-146.42882022564572
188,-154.56992010501335
189,-152.40415833907733
190,-149.95614695928577
191,-147.94463674229956
192,-162.581409099929
193,-143.84259592709455
194,-151.9501379298204
195,-154.92593676886446
196,-149.59420639251113
197,-143.8677293937813
198,-151.91866547608058
199,-154.67688345975057
200,-159.13855382810476
201,-146.40885716502953
202,-158.12734909886154
203,-149.4708790248837
204,-147.88954325395417
205,-151.367144940051
206,-154.76556967501168
207,-159.87826738076944
208,-146.59172205690786
209,-159.7716324728361
210,-151.00422096431603
211,-148.55305307933878
212,-158.15569913756246
213,-150.67882593477373
214,-147.09021036952743
215,-162.21054174416633
216,-149.15352730793825
217,-154.51256844419473
218,-149.08374574214537
219,-156.90091429490616
220,-162.18347333342882
221,-151.3448547874827
222,-152.34075191708573
223,-139.1262643932349
224,-154.83123119148934
225,-150.93070455362644
226,-157.8933983514928
227,-150.75837954403556
228,-158.3643533906437
229,-155.35522580219117
230,-162.26807672651208
231,-147.32807762887012
232,-159.88574667115586
233,-160.88167300700871
234,-153.43871903850345
235,-151.17141614064104
236,-158.38627108404663
237,-152.21494688124287
238,-152.4413438772366
239,-155.85599223201686
240,-157.59510636392977
241,-159.0714699098855
242,-154.89439874806848
243,-142.27307368747609
244,-157.2891557171783
245,-157.54998827604365
246,-145.0125067231383
247,-157.26315080402102
248,-152.91377983205973
249,-155.97785998220488
250,-153.83054496950888
251,-151.052874138584
252,-155.43134958448735
253,-157.85758465098354
254,-146.13544726285886
255,-152.55333073657965
256,-159.70674245749757
257,-160.90418293737116
258,-155.33134744770274
259,-148.2540669274658
260,-155.2733703601778
261,-157.24696497408866
262,-158.7237117382174
